time,energy,cmmt,sstot
6149.000292,-284456.2695,3.689924,20.403814
6199.000294,-282962.6367,3.697349,19.69866
6249.000297,-282497.9805,3.85159,19.892809
6299.000299,-278548.9375,3.85537,20.212828
6349.000302,-282877.6953,3.640604,17.804814
6399.000304,-283507.5977,3.757268,17.036902
6449.000306,-281089.8516,3.528007,19.43959
6499.000309,-285388.7422,3.506442,19.798258
6549.000311,-278027.0469,3.402416,17.231141
6599.000313,-285776.6563,3.514167,17.325058
6649.000316,-277699.3242,3.747689,19.445804
6699.000318,-282131.0078,3.719061,21.264592
6749.000321,-284186.4688,3.827351,21.195256
6799.000323,-280074.5938,3.5894,21.115568
6849.000325,-279415.3867,3.933075,20.410877
6899.000328,-282607.8477,3.540149,18.114689
6949.00033,-283149.4297,3.607135,18.318334
6999.000332,-287961.1055,3.700695,17.949574
7049.000335,-282646.7617,3.557699,18.308475
7099.000337,-275959.0508,3.708161,18.586967
7149.00034,-285024.8086,3.488003,18.660882
7199.000342,-282765.2422,3.494747,19.743983
7249.000344,-284121.8418,3.413888,19.095611
7299.000347,-282410.7148,3.566903,18.083029
7349.000349,-281473.0703,3.595793,19.236351
7399.000351,-280857.1953,3.585807,23.058405
7449.000354,-279437.3359,3.447788,19.81071
7499.000356,-282446.8359,3.771378,20.563871
7549.000359,-283174.8203,3.501374,18.918174
7599.000361,-280612.4531,3.55077,17.605532
7649.000363,-285282.6953,3.559868,18.627661
7699.000366,-281513.4102,3.523729,19.448761
7749.000368,-287700.7461,3.480759,18.538604
7799.00037,-283758.0078,3.439287,19.958731
7849.000373,-285530.2871,3.426189,18.4811
7899.000375,-283744.5547,3.396059,19.181273
7949.000378,-286728.5273,3.243334,20.40149
7999.00038,-283936.6719,3.384217,19.837465
8049.000382,-282616.7578,3.540463,19.808896
8099.000385,-281338.0117,3.496346,20.03524
8149.000387,-286479.4141,3.597264,19.230764
8199.000389,-287481.6621,3.561703,18.50568
8249.000392,-283435.2461,3.128559,18.886403
8299.000394,-279641.0859,3.47228,17.659572
8349.000397,-280866.0781,3.490093,19.462277
8399.000399,-284533.5508,2.019094,18.608808
8449.000401,-282330.2578,1.934592,16.478785
8499.000404,-286610.1016,1.84069,17.460503
8549.000406,-283778.8242,3.15147,22.303195
8599.000408,-283412.2383,3.817917,20.622188
8649.000411,-282190.8867,3.76346,20.327291
8699.000413,-282938.5977,3.48496,19.89154
8749.000416,-282189.7227,3.378419,20.276751
8799.000418,-276150.9297,3.466312,19.578602
8849.00042,-281530.4727,3.130557,21.483938
8899.000423,-287693.2031,3.187494,20.383558
8949.000425,-280952.3398,3.211705,19.938157
8999.000427,-281047.3203,3.344088,19.829268
9049.00043,-282868.1914,3.289909,20.182825
9099.000432,-285137.3477,3.344292,20.314397
9149.000435,-286581.543,3.224489,20.681547
9199.000437,-284319.5508,3.25966,19.231913
9249.000439,-281277.5938,3.687945,21.719104
9299.000442,-283273.4414,3.596487,20.42121
9349.000444,-280735.6289,3.694154,22.940452
9399.000446,-284192.3633,2.343614,18.984023
9449.000449,-279105.8047,2.205823,17.039603
9499.000451,-282042.7344,3.265108,18.613293
9549.000454,-284639.5625,3.148719,20.483912
9599.000456,-282581.2773,3.123,20.563693
9649.000458,-283354.7695,3.564463,21.553122
9699.000461,-281917.5625,3.773533,20.630182
9749.000463,-286630.4688,3.647545,21.789901
9799.000465,-281612.8906,3.367627,21.127476
9849.000468,-287983.0469,3.656764,21.704466
9899.00047,-281073.5352,3.720417,22.146247
9949.000473,-286035.7031,3.598726,21.116784
9999.000475,-286271.9766,3.740345,22.731869
